SaleId,SaleDate,StoreId,ProductId,Units,RevenueUSD
5614226,2026-01-01,S-PAR-01,P-ICE-001,20,100.0
2719583,2026-01-01,S-PAR-01,P-ICE-002,17,102.0
2458591,2026-01-01,S-PAR-01,P-ICE-003,21,105.0
2571945,2026-01-01,S-PAR-01,P-ICE-006,7,126.0
1445199,2026-01-01,S-PAR-01,P-ICE-007,31,108.5
8038374,2026-01-01,S-BER-01,P-ICE-001,23,115.0
1109031,2026-01-01,S-BER-01,P-ICE-002,17,102.0
8090293,2026-01-01,S-BER-01,P-ICE-004,11,66.0
6647119,2026-01-01,S-BER-01,P-ICE-006,6,108.0
7022674,2026-01-01,S-BER-01,P-ICE-007,25,87.5
1728977,2026-01-01,S-AMS-01,P-ICE-001,20,100.0
7350753,2026-01-01,S-AMS-01,P-ICE-003,14,70.0
7067228,2026-01-01,S-AMS-01,P-ICE-005,10,50.0
1768805,2026-01-01,S-AMS-01,P-ICE-007,26,91.0
2338687,2026-01-01,S-AMS-01,P-ICE-008,23,80.5
7120868,2026-01-01,S-BRU-01,P-ICE-004,11,66.0
5479144,2026-01-01,S-BRU-01,P-ICE-005,9,45.0
2197935,2026-01-01,S-BRU-01,P-ICE-008,20,70.0
5107245,2026-01-01,S-MIL-01,P-ICE-001,20,100.0
4684531,2026-01-01,S-MIL-01,P-ICE-003,15,75.0
1938483,2026-01-01,S-MIL-01,P-ICE-005,15,75.0
6292423,2026-01-01,S-MIL-01,P-ICE-006,6,108.0
6279418,2026-01-01,S-MIL-01,P-ICE-008,20,70.0
8698256,2026-01-02,S-PAR-01,P-ICE-001,25,125.0
5408072,2026-01-02,S-PAR-01,P-ICE-002,17,102.0
7700828,2026-01-02,S-PAR-01,P-ICE-003,17,85.0
3320821,2026-01-02,S-PAR-01,P-ICE-006,10,180.0
1790481,2026-01-02,S-PAR-01,P-ICE-007,26,91.0
8082668,2026-01-02,S-BER-01,P-ICE-002,14,84.0
8852574,2026-01-02,S-BER-01,P-ICE-004,13,78.0
1192619,2026-01-02,S-BER-01,P-ICE-006,9,162.0
5476583,2026-01-02,S-BER-01,P-ICE-007,22,77.0
5924115,2026-01-02,S-AMS-01,P-ICE-001,18,90.0
5418934,2026-01-02,S-AMS-01,P-ICE-003,13,65.0
2785277,2026-01-02,S-AMS-01,P-ICE-007,24,84.0
4337174,2026-01-02,S-BRU-01,P-ICE-001,18,90.0
9897858,2026-01-02,S-BRU-01,P-ICE-002,15,90.0
2876828,2026-01-02,S-BRU-01,P-ICE-005,10,50.0
1971823,2026-01-02,S-MIL-01,P-ICE-003,15,75.0
